,language,year,month,answer_count
0,c,2008,8,478
1,c,2008,9,1656
2,c,2008,10,1205
3,c,2008,11,901
4,c,2008,12,732
5,c,2009,1,1334
6,c,2009,2,1315
7,c,2009,3,1596
8,c,2009,4,1623
9,c,2009,5,1555
10,c,2009,6,1808
11,c,2009,7,1850
12,c,2009,8,1856
13,c,2009,9,1870
14,c,2009,10,2466
15,c,2009,11,3437
16,c,2009,12,2555
17,c,2010,1,2931
18,c,2010,2,2916
19,c,2010,3,2986
20,c,2010,4,3084
21,c,2010,5,2849
22,c,2010,6,2886
23,c,2010,7,3368
24,c,2010,8,3534
25,c,2010,9,3430
26,c,2010,10,3736
27,c,2010,11,4092
28,c,2010,12,3293
29,c,2011,1,3171
30,c,2011,2,3725
31,c,2011,3,4796
32,c,2011,4,4499
33,c,2011,5,3976
34,c,2011,6,3573
35,c,2011,7,3534
36,c,2011,8,3955
37,c,2011,9,4100
38,c,2011,10,4420
39,c,2011,11,4627
40,c,2011,12,4123
41,c,2012,1,4780
42,c,2012,2,4811
43,c,2012,3,5290
44,c,2012,4,4906
45,c,2012,5,4470
46,c,2012,6,4366
47,c,2012,7,4473
48,c,2012,8,4312
49,c,2012,9,4793
50,c,2012,10,5807
51,c,2012,11,5711
52,c,2012,12,4645
53,c,2013,1,5245
54,c,2013,2,5313
55,c,2013,3,6150
56,c,2013,4,5921
57,c,2013,5,5536
58,c,2013,6,5237
59,c,2013,7,5353
60,c,2013,8,5468
61,c,2013,9,5820
62,c,2013,10,7203
63,c,2013,11,6808
64,c,2013,12,5701
65,c,2014,1,6226
66,c,2014,2,6498
67,c,2014,3,7184
68,c,2014,4,6133
69,c,2014,5,4576
70,c,2014,6,3929
71,c,2014,7,4237
72,c,2014,8,4205
73,c,2014,9,4847
74,c,2014,10,5754
75,c,2014,11,5325
76,c,2014,12,4982
77,c,2015,1,4827
78,c,2015,2,4884
79,c,2015,3,5562
80,c,2015,4,5859
81,c,2015,5,5124
82,c,2015,6,4774
83,c,2015,7,4525
84,c,2015,8,3925
85,c,2015,9,4783
86,c,2015,10,5539
87,c,2015,11,5096
88,c,2015,12,4720
98,c++,2008,8,1198
99,c++,2008,9,5879
100,c++,2008,10,4987
101,c++,2008,11,3786
102,c++,2008,12,3052
103,c++,2009,1,3891
104,c++,2009,2,4190
105,c++,2009,3,5148
106,c++,2009,4,4832
107,c++,2009,5,5257
108,c++,2009,6,5614
109,c++,2009,7,5919
110,c++,2009,8,5519
111,c++,2009,9,5763
112,c++,2009,10,6508
113,c++,2009,11,6449
114,c++,2009,12,6635
115,c++,2010,1,7302
116,c++,2010,2,8111
117,c++,2010,3,8014
118,c++,2010,4,8093
119,c++,2010,5,7492
120,c++,2010,6,8726
121,c++,2010,7,8270
122,c++,2010,8,8212
123,c++,2010,9,8352
124,c++,2010,10,8767
125,c++,2010,11,10031
126,c++,2010,12,9175
127,c++,2011,1,10314
128,c++,2011,2,9463
129,c++,2011,3,11229
130,c++,2011,4,10887
131,c++,2011,5,10172
132,c++,2011,6,10067
133,c++,2011,7,10058
134,c++,2011,8,10223
135,c++,2011,9,9986
136,c++,2011,10,10485
137,c++,2011,11,10655
138,c++,2011,12,9969
139,c++,2012,1,10382
140,c++,2012,2,11518
141,c++,2012,3,11505
142,c++,2012,4,10910
143,c++,2012,5,9916
144,c++,2012,6,9304
145,c++,2012,7,10648
146,c++,2012,8,10826
147,c++,2012,9,9822
148,c++,2012,10,11824
149,c++,2012,11,11800
150,c++,2012,12,10709
151,c++,2013,1,11556
152,c++,2013,2,11436
153,c++,2013,3,13496
154,c++,2013,4,12958
155,c++,2013,5,12279
156,c++,2013,6,11208
157,c++,2013,7,11866
158,c++,2013,8,11665
159,c++,2013,9,11515
160,c++,2013,10,13574
161,c++,2013,11,13829
162,c++,2013,12,11965
163,c++,2014,1,12932
164,c++,2014,2,12659
165,c++,2014,3,13970
166,c++,2014,4,12897
167,c++,2014,5,10274
168,c++,2014,6,8397
169,c++,2014,7,9483
170,c++,2014,8,8803
171,c++,2014,9,9283
172,c++,2014,10,10204
173,c++,2014,11,9609
174,c++,2014,12,9007
175,c++,2015,1,8834
176,c++,2015,2,9212
177,c++,2015,3,10258
178,c++,2015,4,10300
179,c++,2015,5,9863
180,c++,2015,6,9390
181,c++,2015,7,9739
182,c++,2015,8,8395
183,c++,2015,9,8376
184,c++,2015,10,10125
185,c++,2015,11,9789
186,c++,2015,12,9190
196,html,2008,7,5
197,html,2008,8,623
198,html,2008,9,1818
199,html,2008,10,1239
200,html,2008,11,1244
201,html,2008,12,1121
202,html,2009,1,1617
203,html,2009,2,1654
204,html,2009,3,1551
205,html,2009,4,1559
206,html,2009,5,1675
207,html,2009,6,2335
208,html,2009,7,2683
209,html,2009,8,2441
210,html,2009,9,2273
211,html,2009,10,2189
212,html,2009,11,2504
213,html,2009,12,2655
214,html,2010,1,2987
215,html,2010,2,2615
216,html,2010,3,2774
217,html,2010,4,2567
218,html,2010,5,2824
219,html,2010,6,2990
220,html,2010,7,3500
221,html,2010,8,3507
222,html,2010,9,3199
223,html,2010,10,3325
224,html,2010,11,3669
225,html,2010,12,4002
226,html,2011,1,4570
227,html,2011,2,4321
228,html,2011,3,5861
229,html,2011,4,5276
230,html,2011,5,5462
231,html,2011,6,5651
232,html,2011,7,5824
233,html,2011,8,6085
234,html,2011,9,5329
235,html,2011,10,5267
236,html,2011,11,5575
237,html,2011,12,5679
238,html,2012,1,6351
239,html,2012,2,6716
240,html,2012,3,6740
241,html,2012,4,6488
242,html,2012,5,6929
243,html,2012,6,6780
244,html,2012,7,7851
245,html,2012,8,7969
246,html,2012,9,7093
247,html,2012,10,7499
248,html,2012,11,7440
249,html,2012,12,7368
250,html,2013,1,8287
251,html,2013,2,7910
252,html,2013,3,9839
253,html,2013,4,9412
254,html,2013,5,9244
255,html,2013,6,9108
256,html,2013,7,10583
257,html,2013,8,11053
258,html,2013,9,10442
259,html,2013,10,10503
260,html,2013,11,9737
261,html,2013,12,10386
262,html,2014,1,11994
263,html,2014,2,11056
264,html,2014,3,11913
265,html,2014,4,11086
266,html,2014,5,10001
267,html,2014,6,8707
268,html,2014,7,9772
269,html,2014,8,8968
270,html,2014,9,8694
271,html,2014,10,8625
272,html,2014,11,8247
273,html,2014,12,7861
274,html,2015,1,8558
275,html,2015,2,8458
276,html,2015,3,8966
277,html,2015,4,9426
278,html,2015,5,9320
279,html,2015,6,9391
280,html,2015,7,9419
281,html,2015,8,9016
282,html,2015,9,8338
283,html,2015,10,8387
284,html,2015,11,8038
285,html,2015,12,8249
295,java,2008,8,1756
296,java,2008,9,7781
297,java,2008,10,6241
298,java,2008,11,4603
299,java,2008,12,4139
300,java,2009,1,5570
301,java,2009,2,5882
302,java,2009,3,6129
303,java,2009,4,6169
304,java,2009,5,7634
305,java,2009,6,8643
306,java,2009,7,8660
307,java,2009,8,7677
308,java,2009,9,7786
309,java,2009,10,8629
310,java,2009,11,9711
311,java,2009,12,9355
312,java,2010,1,12728
313,java,2010,2,11133
314,java,2010,3,13718
315,java,2010,4,11703
316,java,2010,5,12326
317,java,2010,6,11915
318,java,2010,7,12263
319,java,2010,8,13009
320,java,2010,9,12587
321,java,2010,10,13450
322,java,2010,11,14619
323,java,2010,12,14850
324,java,2011,1,17176
325,java,2011,2,17564
326,java,2011,3,21336
327,java,2011,4,19430
328,java,2011,5,20314
329,java,2011,6,18945
330,java,2011,7,19248
331,java,2011,8,20213
332,java,2011,9,19183
333,java,2011,10,19075
334,java,2011,11,21328
335,java,2011,12,20572
336,java,2012,1,22684
337,java,2012,2,23517
338,java,2012,3,26222
339,java,2012,4,24647
340,java,2012,5,24873
341,java,2012,6,22551
342,java,2012,7,24881
343,java,2012,8,25489
344,java,2012,9,23115
345,java,2012,10,27546
346,java,2012,11,25759
347,java,2012,12,24418
348,java,2013,1,26663
349,java,2013,2,25981
350,java,2013,3,30073
351,java,2013,4,30006
352,java,2013,5,27889
353,java,2013,6,25784
354,java,2013,7,27754
355,java,2013,8,28638
356,java,2013,9,29449
357,java,2013,10,34522
358,java,2013,11,33568
359,java,2013,12,31052
360,java,2014,1,32181
361,java,2014,2,32626
362,java,2014,3,35762
363,java,2014,4,32828
364,java,2014,5,27093
365,java,2014,6,23817
366,java,2014,7,26681
367,java,2014,8,24031
368,java,2014,9,25486
369,java,2014,10,27435
370,java,2014,11,26601
371,java,2014,12,24498
372,java,2015,1,24539
373,java,2015,2,24261
374,java,2015,3,28136
375,java,2015,4,29320
376,java,2015,5,27061
377,java,2015,6,25415
378,java,2015,7,26019
379,java,2015,8,23999
380,java,2015,9,23835
381,java,2015,10,25218
382,java,2015,11,23568
383,java,2015,12,22280
393,javascript,2008,8,1175
394,javascript,2008,9,4794
395,javascript,2008,10,4369
396,javascript,2008,11,2856
397,javascript,2008,12,2753
398,javascript,2009,1,3740
399,javascript,2009,2,4052
400,javascript,2009,3,3992
401,javascript,2009,4,4051
402,javascript,2009,5,5484
403,javascript,2009,6,5887
404,javascript,2009,7,6040
405,javascript,2009,8,6375
406,javascript,2009,9,5511
407,javascript,2009,10,6142
408,javascript,2009,11,6974
409,javascript,2009,12,7213
410,javascript,2010,1,7692
411,javascript,2010,2,7356
412,javascript,2010,3,8097
413,javascript,2010,4,8026
414,javascript,2010,5,8350
415,javascript,2010,6,8689
416,javascript,2010,7,9656
417,javascript,2010,8,9783
418,javascript,2010,9,9739
419,javascript,2010,10,10125
420,javascript,2010,11,11461
421,javascript,2010,12,12121
422,javascript,2011,1,13463
423,javascript,2011,2,13379
424,javascript,2011,3,16516
425,javascript,2011,4,16716
426,javascript,2011,5,17138
427,javascript,2011,6,18204
428,javascript,2011,7,18894
429,javascript,2011,8,20717
430,javascript,2011,9,18051
431,javascript,2011,10,17080
432,javascript,2011,11,18868
433,javascript,2011,12,18239
434,javascript,2012,1,20574
435,javascript,2012,2,20934
436,javascript,2012,3,22804
437,javascript,2012,4,21758
438,javascript,2012,5,23155
439,javascript,2012,6,22232
440,javascript,2012,7,23691
441,javascript,2012,8,24421
442,javascript,2012,9,21491
443,javascript,2012,10,23786
444,javascript,2012,11,23078
445,javascript,2012,12,21708
446,javascript,2013,1,25022
447,javascript,2013,2,24598
448,javascript,2013,3,27411
449,javascript,2013,4,27055
450,javascript,2013,5,26244
451,javascript,2013,6,25356
452,javascript,2013,7,29395
453,javascript,2013,8,29739
454,javascript,2013,9,30016
455,javascript,2013,10,33026
456,javascript,2013,11,30064
457,javascript,2013,12,30113
458,javascript,2014,1,35295
459,javascript,2014,2,34607
460,javascript,2014,3,35678
461,javascript,2014,4,33437
462,javascript,2014,5,29790
463,javascript,2014,6,26902
464,javascript,2014,7,29899
465,javascript,2014,8,27314
466,javascript,2014,9,26548
467,javascript,2014,10,27173
468,javascript,2014,11,26182
469,javascript,2014,12,25133
470,javascript,2015,1,26518
471,javascript,2015,2,26840
472,javascript,2015,3,28887
473,javascript,2015,4,31729
474,javascript,2015,5,32595
475,javascript,2015,6,33049
476,javascript,2015,7,34676
477,javascript,2015,8,31953
478,javascript,2015,9,30443
479,javascript,2015,10,30540
480,javascript,2015,11,29963
481,javascript,2015,12,30272
491,matlab,2008,8,1
492,matlab,2008,9,70
493,matlab,2008,10,82
494,matlab,2008,11,28
495,matlab,2008,12,29
496,matlab,2009,1,65
497,matlab,2009,2,87
498,matlab,2009,3,53
499,matlab,2009,4,109
500,matlab,2009,5,90
501,matlab,2009,6,138
502,matlab,2009,7,100
503,matlab,2009,8,70
504,matlab,2009,9,170
505,matlab,2009,10,177
506,matlab,2009,11,298
507,matlab,2009,12,261
508,matlab,2010,1,212
509,matlab,2010,2,271
510,matlab,2010,3,293
511,matlab,2010,4,400
512,matlab,2010,5,434
513,matlab,2010,6,295
514,matlab,2010,7,307
515,matlab,2010,8,313
516,matlab,2010,9,304
517,matlab,2010,10,327
518,matlab,2010,11,283
519,matlab,2010,12,313
520,matlab,2011,1,320
521,matlab,2011,2,492
522,matlab,2011,3,709
523,matlab,2011,4,622
524,matlab,2011,5,471
525,matlab,2011,6,476
526,matlab,2011,7,491
527,matlab,2011,8,439
528,matlab,2011,9,446
529,matlab,2011,10,655
530,matlab,2011,11,700
531,matlab,2011,12,658
532,matlab,2012,1,677
533,matlab,2012,2,873
534,matlab,2012,3,887
535,matlab,2012,4,919
536,matlab,2012,5,800
537,matlab,2012,6,840
538,matlab,2012,7,855
539,matlab,2012,8,921
540,matlab,2012,9,797
541,matlab,2012,10,1130
542,matlab,2012,11,1254
543,matlab,2012,12,958
544,matlab,2013,1,1012
545,matlab,2013,2,1186
546,matlab,2013,3,1377
547,matlab,2013,4,1447
548,matlab,2013,5,1377
549,matlab,2013,6,1218
550,matlab,2013,7,1291
551,matlab,2013,8,1228
552,matlab,2013,9,1230
553,matlab,2013,10,1527
554,matlab,2013,11,1641
555,matlab,2013,12,1350
556,matlab,2014,1,1411
557,matlab,2014,2,1562
558,matlab,2014,3,1829
559,matlab,2014,4,1688
560,matlab,2014,5,1436
561,matlab,2014,6,1213
562,matlab,2014,7,1283
563,matlab,2014,8,1159
564,matlab,2014,9,1257
565,matlab,2014,10,1468
566,matlab,2014,11,1438
567,matlab,2014,12,1122
568,matlab,2015,1,1100
569,matlab,2015,2,1284
570,matlab,2015,3,1459
571,matlab,2015,4,1697
572,matlab,2015,5,1601
573,matlab,2015,6,1246
574,matlab,2015,7,1185
575,matlab,2015,8,1047
576,matlab,2015,9,1006
577,matlab,2015,10,1087
578,matlab,2015,11,1181
579,matlab,2015,12,859
589,mysql,2008,8,464
590,mysql,2008,9,1079
591,mysql,2008,10,1065
592,mysql,2008,11,948
593,mysql,2008,12,865
594,mysql,2009,1,1209
595,mysql,2009,2,1156
596,mysql,2009,3,1257
597,mysql,2009,4,1368
598,mysql,2009,5,1503
599,mysql,2009,6,1803
600,mysql,2009,7,2054
601,mysql,2009,8,2420
602,mysql,2009,9,1767
603,mysql,2009,10,2033
604,mysql,2009,11,2645
605,mysql,2009,12,2638
606,mysql,2010,1,3056
607,mysql,2010,2,2507
608,mysql,2010,3,3384
609,mysql,2010,4,3226
610,mysql,2010,5,3318
611,mysql,2010,6,3460
612,mysql,2010,7,3370
613,mysql,2010,8,3591
614,mysql,2010,9,3317
615,mysql,2010,10,3485
616,mysql,2010,11,4109
617,mysql,2010,12,4175
618,mysql,2011,1,5241
619,mysql,2011,2,5211
620,mysql,2011,3,7615
621,mysql,2011,4,7299
622,mysql,2011,5,6750
623,mysql,2011,6,7216
624,mysql,2011,7,7559
625,mysql,2011,8,7939
626,mysql,2011,9,6714
627,mysql,2011,10,6888
628,mysql,2011,11,7724
629,mysql,2011,12,6903
630,mysql,2012,1,7855
631,mysql,2012,2,8074
632,mysql,2012,3,9394
633,mysql,2012,4,8654
634,mysql,2012,5,8816
635,mysql,2012,6,8805
636,mysql,2012,7,9504
637,mysql,2012,8,8866
638,mysql,2012,9,8314
639,mysql,2012,10,8985
640,mysql,2012,11,8627
641,mysql,2012,12,8304
642,mysql,2013,1,9670
643,mysql,2013,2,8901
644,mysql,2013,3,10404
645,mysql,2013,4,9928
646,mysql,2013,5,9243
647,mysql,2013,6,8773
648,mysql,2013,7,9912
649,mysql,2013,8,9865
650,mysql,2013,9,9473
651,mysql,2013,10,9970
652,mysql,2013,11,9578
653,mysql,2013,12,9624
654,mysql,2014,1,10730
655,mysql,2014,2,10291
656,mysql,2014,3,11257
657,mysql,2014,4,10557
658,mysql,2014,5,8922
659,mysql,2014,6,7560
660,mysql,2014,7,8064
661,mysql,2014,8,7337
662,mysql,2014,9,7711
663,mysql,2014,10,8122
664,mysql,2014,11,7670
665,mysql,2014,12,7469
666,mysql,2015,1,7648
667,mysql,2015,2,7254
668,mysql,2015,3,8156
669,mysql,2015,4,8223
670,mysql,2015,5,7712
671,mysql,2015,6,7728
672,mysql,2015,7,8084
673,mysql,2015,8,7451
674,mysql,2015,9,7415
675,mysql,2015,10,7594
676,mysql,2015,11,7165
677,mysql,2015,12,7382
687,python,2008,8,934
688,python,2008,9,3714
689,python,2008,10,2795
690,python,2008,11,2231
691,python,2008,12,2127
692,python,2009,1,2954
693,python,2009,2,2928
694,python,2009,3,3234
695,python,2009,4,3056
696,python,2009,5,3897
697,python,2009,6,3926
698,python,2009,7,4205
699,python,2009,8,3856
700,python,2009,9,3950
701,python,2009,10,4678
702,python,2009,11,4942
703,python,2009,12,5037
704,python,2010,1,6036
705,python,2010,2,5203
706,python,2010,3,5950
707,python,2010,4,5074
708,python,2010,5,5099
709,python,2010,6,5506
710,python,2010,7,6761
711,python,2010,8,6433
712,python,2010,9,5514
713,python,2010,10,6640
714,python,2010,11,6598
715,python,2010,12,6307
716,python,2011,1,7042
717,python,2011,2,7213
718,python,2011,3,8737
719,python,2011,4,7596
720,python,2011,5,7843
721,python,2011,6,7529
722,python,2011,7,8018
723,python,2011,8,8362
724,python,2011,9,7444
725,python,2011,10,7503
726,python,2011,11,7848
727,python,2011,12,7436
728,python,2012,1,8891
729,python,2012,2,9106
730,python,2012,3,10366
731,python,2012,4,9557
732,python,2012,5,10013
733,python,2012,6,10185
734,python,2012,7,11141
735,python,2012,8,11029
736,python,2012,9,9788
737,python,2012,10,11395
738,python,2012,11,11499
739,python,2012,12,10222
740,python,2013,1,11437
741,python,2013,2,11474
742,python,2013,3,13001
743,python,2013,4,13307
744,python,2013,5,13091
745,python,2013,6,12604
746,python,2013,7,14602
747,python,2013,8,13166
748,python,2013,9,12962
749,python,2013,10,15546
750,python,2013,11,15508
751,python,2013,12,13645
752,python,2014,1,15535
753,python,2014,2,15232
754,python,2014,3,17138
755,python,2014,4,15898
756,python,2014,5,12897
757,python,2014,6,12459
758,python,2014,7,14151
759,python,2014,8,12863
760,python,2014,9,12255
761,python,2014,10,13349
762,python,2014,11,13916
763,python,2014,12,12998
764,python,2015,1,13742
765,python,2015,2,14200
766,python,2015,3,15967
767,python,2015,4,16378
768,python,2015,5,16288
769,python,2015,6,16210
770,python,2015,7,16950
771,python,2015,8,15226
772,python,2015,9,14832
773,python,2015,10,16889
774,python,2015,11,16337
775,python,2015,12,15623
785,sql,2008,8,1166
786,sql,2008,9,3438
787,sql,2008,10,2738
788,sql,2008,11,1719
789,sql,2008,12,1946
790,sql,2009,1,2665
791,sql,2009,2,2860
792,sql,2009,3,2763
793,sql,2009,4,2783
794,sql,2009,5,3109
795,sql,2009,6,3441
796,sql,2009,7,3725
797,sql,2009,8,3322
798,sql,2009,9,4318
799,sql,2009,10,4621
800,sql,2009,11,3897
801,sql,2009,12,3810
802,sql,2010,1,3589
803,sql,2010,2,3652
804,sql,2010,3,3937
805,sql,2010,4,3466
806,sql,2010,5,3714
807,sql,2010,6,4102
808,sql,2010,7,4706
809,sql,2010,8,4576
810,sql,2010,9,4269
811,sql,2010,10,4438
812,sql,2010,11,4879
813,sql,2010,12,4201
814,sql,2011,1,5089
815,sql,2011,2,4614
816,sql,2011,3,4889
817,sql,2011,4,4002
818,sql,2011,5,4626
819,sql,2011,6,4801
820,sql,2011,7,4497
821,sql,2011,8,4569
822,sql,2011,9,4346
823,sql,2011,10,4081
824,sql,2011,11,4635
825,sql,2011,12,4382
826,sql,2012,1,4502
827,sql,2012,2,4923
828,sql,2012,3,5781
829,sql,2012,4,5251
830,sql,2012,5,5373
831,sql,2012,6,4852
832,sql,2012,7,5537
833,sql,2012,8,5599
834,sql,2012,9,5387
835,sql,2012,10,6065
836,sql,2012,11,5846
837,sql,2012,12,5353
838,sql,2013,1,6379
839,sql,2013,2,6293
840,sql,2013,3,7203
841,sql,2013,4,6923
842,sql,2013,5,6894
843,sql,2013,6,6403
844,sql,2013,7,7748
845,sql,2013,8,7112
846,sql,2013,9,7188
847,sql,2013,10,8016
848,sql,2013,11,7583
849,sql,2013,12,6961
850,sql,2014,1,7907
851,sql,2014,2,7730
852,sql,2014,3,8112
853,sql,2014,4,8346
854,sql,2014,5,7287
855,sql,2014,6,6814
856,sql,2014,7,7459
857,sql,2014,8,6875
858,sql,2014,9,6591
859,sql,2014,10,5987
860,sql,2014,11,5109
861,sql,2014,12,4834
862,sql,2015,1,5157
863,sql,2015,2,5134
864,sql,2015,3,5791
865,sql,2015,4,6122
866,sql,2015,5,5789
867,sql,2015,6,6032
868,sql,2015,7,5976
869,sql,2015,8,5643
870,sql,2015,9,5220
871,sql,2015,10,5307
872,sql,2015,11,4967
873,sql,2015,12,4990
