language,keyphrase,tfidf
java,android studio,0.1049035
java,java lang,0.1049035
java,using java,0.078857716
java,java java,0.069935667
java,spring boot,0.058279722
java,doesn 39,0.049922491
java,java using,0.046623778
java,class java,0.034967833
java,java android,0.034967833
java,java class,0.034967833
java,java method,0.034967833
java,java spring,0.034967833
java,java web,0.034967833
java,method parameter,0.034967833
java,performance java,0.034967833
java,selenium webdriver,0.034967833
java,spring data,0.034967833
java,try resources,0.034967833
java,values java,0.034967833
java,android app,0.026285905
java,using selenium,0.026285905
java,create new,0.023490949
java,json data,0.023490949
java,android app java,0.023311889
java,android java,0.023311889
java,apache spark,0.023311889
java,api android,0.023311889
java,api java,0.023311889
java,app java,0.023311889
java,arguments java,0.023311889
javascript,using javascript,0.107754129
javascript,button click,0.091682238
javascript,using jquery,0.07836664
javascript,google maps,0.068919072
javascript,chart js,0.068761679
javascript,node js,0.055603473
javascript,javascript code,0.04897915
javascript,jquery ajax,0.04897915
javascript,react native,0.04897915
javascript,using angular,0.04897915
javascript,doesn 39,0.044622234
javascript,asp net,0.034459536
javascript,bar chart,0.034459536
javascript,google charts,0.034380839
javascript,hide div,0.034380839
javascript,javascript array,0.034380839
javascript,javascript use,0.034380839
javascript,javascript variable,0.034380839
javascript,react js,0.034380839
javascript,text content,0.034380839
javascript,use javascript,0.034380839
javascript,ajax form,0.02938749
javascript,jquery ajax form,0.02938749
javascript,react component,0.02938749
javascript,39 work,0.029120852
javascript,socket io,0.025844652
javascript,isn 39,0.025270559
javascript,don 39,0.024267377
javascript,angular js,0.023096613
javascript,google map,0.023096613
html,using jquery,0.128300431
html,background image,0.086794651
html,html table,0.086794651
html,html css,0.069084847
html,html page,0.059215583
html,html form,0.057730956
html,doesn 39,0.049452417
html,android webview,0.046184765
html,make image,0.046184765
html,using css,0.046184765
html,gt tag,0.039477056
html,input field,0.039477056
html,select tag,0.039477056
html,input type,0.038782927
html,asp net,0.03471786
html,39 working,0.034638574
html,child element,0.034638574
html,css html,0.034638574
html,div content,0.034638574
html,horizontal scroll,0.034638574
html,image css,0.034638574
html,javascript html,0.034638574
html,lt img,0.034638574
html,quot gt,0.034638574
html,search bar,0.034638574
html,table cell,0.034638574
html,left right,0.031026341
html,javascript jquery,0.029607792
html,jquery javascript,0.029607792
html,ng repeat,0.029607792
mysql,mysql database,0.221184369
mysql,php mysql,0.138240231
mysql,data mysql,0.107819465
mysql,mysql php,0.101376169
mysql,mysql query,0.089154665
mysql,mysql using,0.086255572
mysql,mysql mysql,0.064512108
mysql,mysql table,0.064512108
mysql,sql query,0.057945404
mysql,mysql connection,0.055296092
mysql,mysql error,0.055296092
mysql,mysql insert,0.055296092
mysql,primary key,0.055296092
mysql,table mysql,0.055296092
mysql,database mysql,0.053909733
mysql,mysql select,0.053909733
mysql,mysql server,0.053909733
mysql,mysql workbench,0.053909733
mysql,mysql db,0.048629817
mysql,error mysql,0.046080077
mysql,foreign key,0.046080077
mysql,left join,0.046080077
mysql,using php,0.046080077
mysql,connect mysql,0.043127786
mysql,file mysql,0.043127786
mysql,mysql data,0.043127786
mysql,php amp,0.043127786
mysql,query mysql,0.043127786
mysql,column mysql,0.036864062
mysql,insert data,0.036864062
sql,sql server,0.313373432
sql,sql query,0.208915621
sql,oracle sql,0.10884466
sql,update query,0.077746186
sql,sql count,0.066454609
sql,table sql,0.066454609
sql,server sql,0.062196949
sql,sql server sql,0.062196949
sql,multiple tables,0.053163687
sql,query sql,0.053163687
sql,sql statement,0.053163687
sql,asp net,0.046754487
sql,error mysql,0.039872766
sql,foreign key,0.039872766
sql,sql data,0.039872766
sql,sql table,0.039872766
sql,table creation,0.039872766
sql,value column,0.039872766
sql,key value,0.035065865
sql,mysql query,0.035065865
sql,2008 r2,0.031098474
sql,39 3pm,0.031098474
sql,39 sql,0.031098474
sql,access sql,0.031098474
sql,column different,0.031098474
sql,column value,0.031098474
sql,columns sql,0.031098474
sql,data region,0.031098474
sql,data table,0.031098474
sql,data warehouse,0.031098474
c++,visual studio,0.081584079
c++,linked list,0.057108855
c++,segmentation fault,0.048950448
c++,39 std,0.041522127
c++,undefined reference,0.041522127
c++,using opencv,0.041522127
c++,quot quot,0.04114539
c++,binary file,0.04079204
c++,base class,0.036432992
c++,class object,0.036432992
c++,template class,0.036432992
c++,using boost,0.036432992
c++,variable class,0.036432992
c++,doesn 39,0.033099979
c++,function quot,0.031141595
c++,object 39,0.031141595
c++,static variable,0.031141595
c++,studio 2015,0.031141595
c++,visual studio 2015,0.031141595
c++,64 bit,0.02738729
c++,compile time,0.02738729
c++,windows 10,0.024475224
c++,39 operator 39,0.024288661
c++,39 type,0.024288661
c++,array dynamic,0.024288661
c++,boost asio,0.024288661
c++,brackets matched,0.024288661
c++,clang format,0.024288661
c++,class error,0.024288661
c++,common subgraphs,0.024288661
python,python python,0.157539418
python,using python,0.101507156
python,file python,0.090022524
python,pandas dataframe,0.076130367
python,python requests,0.067516893
python,python pandas,0.057710983
python,python script,0.048092485
python,python using,0.048092485
python,convert string,0.045356996
python,39 python,0.045011262
python,beautiful soup,0.045011262
python,django rest,0.045011262
python,django rest framework,0.045011262
python,python quot,0.045011262
python,quot python,0.045011262
python,rest framework,0.045011262
python,attribute 39,0.038473988
python,python code,0.038473988
python,python convert,0.038473988
python,python django,0.038473988
python,class python,0.033758447
python,different results,0.033758447
python,django db,0.033758447
python,error django,0.033758447
python,error python,0.033758447
python,google app,0.033758447
python,google app engine,0.033758447
python,ipython notebook,0.033758447
python,python pip,0.033758447
python,python read,0.033758447
swift,swift swift,0.220997218
swift,ios 10,0.161914609
swift,using swift,0.147331479
swift,swift ios,0.136807802
swift,swift xcode,0.115760448
swift,ios swift,0.105236771
swift,view controller,0.094713094
swift,value type,0.071962048
swift,ios app,0.063142062
swift,string swift,0.063142062
swift,swift does,0.063142062
swift,swift migration,0.063142062
swift,xcode swift,0.063142062
swift,convert value,0.052618385
swift,swift 39,0.052618385
swift,value swift,0.052618385
swift,type 39,0.046410595
swift,type quot,0.04497628
swift,array swift,0.042094708
swift,collection view,0.042094708
swift,convert value type,0.042094708
swift,expected argument,0.042094708
swift,navigation bar,0.042094708
swift,push notifications,0.042094708
swift,swift convert,0.042094708
swift,swift firebase,0.042094708
swift,swift getting,0.042094708
swift,swift set,0.042094708
swift,swift use,0.042094708
swift,type swift,0.042094708
matlab,matlab matlab,0.249344321
matlab,using matlab,0.17286604
matlab,matlab using,0.12964953
matlab,function matlab,0.118845402
matlab,array matlab,0.108041275
matlab,matlab create,0.097237147
matlab,matrix matlab,0.097237147
matlab,cell array,0.08643302
matlab,matlab function,0.08643302
matlab,data matlab,0.073879799
matlab,39 39 39,0.064644824
matlab,39 39,0.059482699
matlab,loop matlab,0.055409849
matlab,file matlab,0.054020637
matlab,matlab 39,0.054020637
matlab,matlab plot,0.054020637
matlab,functions matlab,0.04321651
matlab,image matlab,0.04321651
matlab,matlab 3d,0.04321651
matlab,matlab gui,0.04321651
matlab,symbolic expression,0.04321651
matlab,39 matlab,0.032412382
matlab,camera calibration,0.032412382
matlab,condition matlab,0.032412382
matlab,different color,0.032412382
matlab,elements matrix,0.032412382
matlab,execute matlab,0.032412382
matlab,matlab array,0.032412382
matlab,matlab converting,0.032412382
matlab,matlab extract,0.032412382
C,segmentation fault,0.115321
C,char array,0.073738234
C,linked list,0.065897714
C,array pointer,0.061308196
C,txt file,0.0520551
C,character char,0.049046557
C,39 39,0.046735689
C,2d array,0.046086396
C,likely unlikely,0.041923211
C,undefined reference,0.041923211
C,file array,0.036869117
C,array pointers,0.036784918
C,character char array,0.036784918
C,child process,0.036784918
C,linux kernel,0.036784918
C,main function,0.036784918
C,unsigned char,0.036784918
C,floating point,0.032948857
C,visual studio,0.032948857
C,39 int,0.031442408
C,character array,0.031442408
C,text file,0.030864597
C,doesn 39,0.028645465
C,file using,0.027037601
C,user input,0.024711643
C,39 define,0.024523278
C,array delete,0.024523278
C,array printf,0.024523278
C,array replace,0.024523278
C,arrays functions,0.024523278
