,Occupation,Average_Salary,Satisfaction,Languages
1,Product manager,68598.61592,2.97,"mysql, sql, python"
2,Machine learning developer,67041.80064,3.63,"python, R, java"
3,Data scientist,66508.74636,3.89,"python, R, matlab"
4,Business intelligence or data warehousing expert,65660.91954,3.05,"mysql, sql, html"
5,Developer with a statistics or mathematics background,65625.75942,3.43,"java, R, python"
6,Database administrator,60135.13514,3.06,"mysql, sql"
7,Graphics programmer,56330.4721,3.15,"c++, java, c"
8,Full-stack web developer,54838.24123,3.46,"java, javascript, html"
9,Analyst,54816.60232,3.21,"java, python, R"
10,Designer,50698.52941,3.52,"javacript, html, mysql"
11,Back-end web developer,49649.33383,3.21,"java, c, c++"
12,Quality Assurance,48049.85337,3.21,"java, c++, c"
13,System administrator,46562.5,3.01,"sql, mysql, python"
14,Mobile developer,45781.77258,3.18,"java, mysql, html"
15,Front-end web developer,45744.38755,3.14,"html, javascipt, mysql"